"","var","var_label"
"324","Q43","C4 - A continuación, nos interesa identificar los puestos de trabajo en los que tuvo dificultades de contratación. ¿En c"
"325","Q44","Puesto 1 - Por favor, seleccione el primer puesto de trabajo en que tuvo mayores dificultades de contratación. "
"326","Q44D","Por favor, seleccione el primer puesto de trabajo en que tuvo mayores dificultades de contratación.  - Text"
"327","Q45","Puesto 2 - Por favor, seleccione el segundo puesto de trabajo en que tuvo mayores dificultades de contratación. "
"328","Q45D","Por favor, seleccione el segundo puesto de trabajo en que tuvo mayores dificultades de contratación.  - Text"
"329","Q46","Puesto 3 - Por favor, seleccione el tercer puesto de trabajo en que tuvo mayores dificultades de contratación. "
"330","Q46D","Por favor, seleccione el tercer puesto de trabajo en que tuvo mayores dificultades de contratación.  - Text"
"331","Q47","Puesto 4 - Por favor, seleccione el cuarto puesto de trabajo en que tuvo mayores dificultades de contratación. "
"332","Q47D","Por favor, seleccione el cuarto puesto de trabajo en que tuvo mayores dificultades de contratación.  - Text"
"333","Q48","Puesto 5 - Por favor, seleccione el quinto puesto de trabajo en que tuvo mayores dificultades de contratación. "
"334","Q48D","Por favor, seleccione el quinto puesto de trabajo en que tuvo mayores dificultades de contratación.  - Text"
"335","Q49R1A1","C6-${Puesto 1} - Detalle nombre puesto de trabajo"
"336","Q49R1A2","C6-${Puesto 1} - Tareas"
"337","Q49R2A1","C6-${Puesto 2} - Detalle nombre puesto de trabajo"
"338","Q49R2A2","C6-${Puesto 2} - Tareas"
"339","Q49R3A1","C6-${Puesto 3} - Detalle nombre puesto de trabajo"
"340","Q49R3A2","C6-${Puesto 3} - Tareas"
"341","Q49R4A1","C6-${Puesto 4} - Detalle nombre puesto de trabajo"
"342","Q49R4A2","C6-${Puesto 4} - Tareas"
"343","Q49R5A1","C6-${Puesto 5} - Detalle nombre puesto de trabajo"
"344","Q49R5A2","C6-${Puesto 5} - Tareas"
"345","Q50R1","C7 - ${Puesto 1}"
"346","Q50R2","C7 - ${Puesto 2}"
"347","Q50R3","C7 - ${Puesto 3}"
"348","Q50R4","C7 - ${Puesto 4}"
"349","Q50R5","C7 - ${Puesto 5}"
"350","Q51R1","C8 - ${Puesto 1}"
"351","Q51R2","C8 - ${Puesto 2}"
"352","Q51R3","C8 - ${Puesto 3}"
"353","Q51R4","C8 - ${Puesto 4}"
"354","Q51R5","C8 - ${Puesto 5}"
"355","Q52R1","C9 - ${Puesto 1}"
"356","Q52R1D","${Puesto 1} - Text"
"357","Q52R2","C9 - ${Puesto 2}"
"358","Q52R2D","${Puesto 2} - Text"
"359","Q52R3","C9 - ${Puesto 3}"
"360","Q52R3D","${Puesto 3} - Text"
"361","Q52R4","C9 - ${Puesto 4}"
"362","Q52R4D","${Puesto 4} - Text"
"363","Q52R5","C9 - ${Puesto 5}"
"364","Q52R5D","${Puesto 5} - Text"
"365","Q53R1","C10 - ${Puesto 1}"
"366","Q53R2","C10 - ${Puesto 2}"
"367","Q53R3","C10 - ${Puesto 3}"
"368","Q53R4","C10 - ${Puesto 4}"
"369","Q53R5","C10 - ${Puesto 5}"
"370","Q54","C11.1 - ¿Cuál es la principal dificultad que ha tenido para llenar sus vacantes para el puesto de ${Puesto 1}?"
"371","Q54D","¿Cuál es la principal dificultad que ha tenido para llenar sus vacantes para el puesto de ${Puesto 1}? - Text"
"372","Q55","C11.2 - ¿Cuál es la principal dificultad que ha tenido para llenar sus vacantes para el puesto de ${Puesto 2}?"
"373","Q55D","¿Cuál es la principal dificultad que ha tenido para llenar sus vacantes para el puesto de ${Puesto 2}? - Text"
"374","Q56","C11.3 - ¿Cuál es la principal dificultad que ha tenido para llenar sus vacantes para el puesto de ${Puesto 3}?"
"375","Q56D","¿Cuál es la principal dificultad que ha tenido para llenar sus vacantes para el puesto de ${Puesto 3}? - Text"
"376","Q57","C11.4 - ¿Cuál es la principal dificultad que ha tenido para llenar sus vacantes para el puesto de ${Puesto 4}?"
"377","Q57D","¿Cuál es la principal dificultad que ha tenido para llenar sus vacantes para el puesto de ${Puesto 4}? - Text"
"378","Q58","C11.5 - ¿Cuál es la principal dificultad que ha tenido para llenar sus vacantes para el puesto de ${Puesto 5}?"
"379","Q58D","¿Cuál es la principal dificultad que ha tenido para llenar sus vacantes para el puesto de ${Puesto 5}? - Text"
"380","Q59R1A1","C12-Traspaso de trabajadores de la misma constructora desde otra obra - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR"
"381","Q59R1A2","C12-Traspaso de trabajadores de la misma constructora desde otra obra - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS N"
"382","Q59R2A1","C12-Diario o radio - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR"
"383","Q59R2A2","C12-Diario o radio - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS NIVEL SUPERIOR"
"384","Q59R3A1","C12-Plataforma web de empleo pagada (trabajando.com, laborum, linkedin) - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR"
"385","Q59R3A2","C12-Plataforma web de empleo pagada (trabajando.com, laborum, linkedin) - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS"
"386","Q59R4A1","C12-Plataforma web privada gratuita (Yapo u otra)  (exluyendo redes sociales) - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPER"
"387","Q59R4A2","C12-Plataforma web privada gratuita (Yapo u otra)  (exluyendo redes sociales) - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉ"
"388","Q59R5A1","C12-Redes sociales (facebook, twitter, instagram, etc.) - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR"
"389","Q59R5A2","C12-Redes sociales (facebook, twitter, instagram, etc.) - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS NIVEL SUPERIOR"
"390","Q59R6A1","C12-Bolsa Nacional de Empleo (BNE) - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR"
"391","Q59R6A2","C12-Bolsa Nacional de Empleo (BNE) - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS NIVEL SUPERIOR"
"392","Q59R7A1","C12-Oficina Municipal de Información Laboral (OMIL) - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR"
"393","Q59R7A2","C12-Oficina Municipal de Información Laboral (OMIL) - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS NIVEL SUPERIOR"
"394","Q59R8A1","C12-Redes de profesionales o egresados (mailing list) - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR"
"395","Q59R8A2","C12-Redes de profesionales o egresados (mailing list) - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS NIVEL SUPERIOR"
"396","Q59R9A1","C12-Recomendaciones de trabajadores de la empresa u otros actores. Ej: boca a boca.  - PUESTOS QUE NO REQUIEREN EDUCACIÓ"
"397","Q59R9A2","C12-Recomendaciones de trabajadores de la empresa u otros actores. Ej: boca a boca.  - PUESTOS DE TRABAJO DE PROFESIONAL"
"398","Q59R10A1","C12-Contratación de empresas de reclutamiento - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR"
"399","Q59R10A2","C12-Contratación de empresas de reclutamiento - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS NIVEL SUPERIOR"
"400","Q59R11A1","C12-Intermediadores o enganchadores - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR"
"401","Q59R11A2","C12-Intermediadores o enganchadores - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS NIVEL SUPERIOR"
"402","Q59R12A1","C12-Avisos en las inmediaciones de la empresa o banco de Curriculums. - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR"
"403","Q59R12A2","C12-Avisos en las inmediaciones de la empresa o banco de Curriculums. - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS N"
"404","Q59R13A1","C12-Redes personales del empleador  - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR"
"405","Q59R13A2","C12-Redes personales del empleador  - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS NIVEL SUPERIOR"
"406","Q59R14A1","C12-Otro canal, ¿cuál? - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR"
"407","Q59R14A2","C12-Otro canal, ¿cuál? - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS NIVEL SUPERIOR"
"408","Q59R14A1D","C12-Otro canal, ¿cuál? - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR [Dynamic Text]"
"409","Q59R14A2D","C12-Otro canal, ¿cuál? - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS NIVEL SUPERIOR [Dynamic Text]"
"410","Q59R15A1","C12-No aplica - PUESTOS QUE NO REQUIEREN EDUCACIÓN SUPERIOR"
"411","Q59R15A2","C12-No aplica - PUESTOS DE TRABAJO DE PROFESIONALES Y TÉCNICOS NIVEL SUPERIOR"
"412","Q60","D - El objetivo de esta sección es recabar información sobre los planes de capacitación de su empresa para los trabajado"
"413","Q61","D1 - Considerando los últimos 12 meses, ¿su empresa ha capacitado a los trabajadores de este, u otros proyectos similare"
"414","Q62R1","D2a - Operativo inicial/básico (jornal, ayudante, señalero, alarife)"
"415","Q62R2","D2a - Operativo avanzado y especialista (maestro de primera y de segunda, operadores de equipos y de maquinaria)"
"416","Q62R3","D2a - Encargado y líder de equipo (capataz, supervisor, inspector certificador, instructor senior, administrativo de obr"
"417","Q62R4","D2a - Profesionales y técnicos de nivel superior (ingenieros, prevencionistas, topógrafos, laboratorista)"
"418","Q63A1","D2b-¿Cuáles fueron las principales fuentes de financiamiento de la capacitación? Incluya solo aquellas que representaron"
"419","Q63A2","D2b-¿Cuáles fueron las principales fuentes de financiamiento de la capacitación? Incluya solo aquellas que representaron"
"420","Q63A3","D2b-¿Cuáles fueron las principales fuentes de financiamiento de la capacitación? Incluya solo aquellas que representaron"
"421","Q63A4","D2b-¿Cuáles fueron las principales fuentes de financiamiento de la capacitación? Incluya solo aquellas que representaron"
"422","Q63A5","D2b-¿Cuáles fueron las principales fuentes de financiamiento de la capacitación? Incluya solo aquellas que representaron"
"423","Q63A6","D2b-¿Cuáles fueron las principales fuentes de financiamiento de la capacitación? Incluya solo aquellas que representaron"
"424","Q63A7","D2b-¿Cuáles fueron las principales fuentes de financiamiento de la capacitación? Incluya solo aquellas que representaron"
"425","Q63A1D","D2b-¿Cuáles fueron las principales fuentes de financiamiento de la capacitación? Incluya solo aquellas que representaron"
"426","Q64","D3 - Considerando los desafíos actuales que enfrenta su empresa y las metas que tendrá durante los próximos 12 meses: ¿t"
"427","Q65","D4 - ¿Por qué no?"
"428","Q65D","¿Por qué no? - Text"
"429","Q66","D5 - ¿Podría señalar en qué grupo ocupacional se desempeñan los trabajadores que considera más prioritario capacitar? Ma"
"430","Q67A1","D6-Y pensando en el tipo de competencias laborales que requiere fortalecer en los trabajadores que se desempeñan en este"
"431","Q67A2","D6-Y pensando en el tipo de competencias laborales que requiere fortalecer en los trabajadores que se desempeñan en este"
"432","Q67A3","D6-Y pensando en el tipo de competencias laborales que requiere fortalecer en los trabajadores que se desempeñan en este"
"433","Q67A4","D6-Y pensando en el tipo de competencias laborales que requiere fortalecer en los trabajadores que se desempeñan en este"
"434","Q67A5","D6-Y pensando en el tipo de competencias laborales que requiere fortalecer en los trabajadores que se desempeñan en este"
"435","Q67A6","D6-Y pensando en el tipo de competencias laborales que requiere fortalecer en los trabajadores que se desempeñan en este"
"436","Q67A1D","D6-Y pensando en el tipo de competencias laborales que requiere fortalecer en los trabajadores que se desempeñan en este"
"437","Q67A2D","D6-Y pensando en el tipo de competencias laborales que requiere fortalecer en los trabajadores que se desempeñan en este"
"438","Q67A3D","D6-Y pensando en el tipo de competencias laborales que requiere fortalecer en los trabajadores que se desempeñan en este"
"439","Q67A4D","D6-Y pensando en el tipo de competencias laborales que requiere fortalecer en los trabajadores que se desempeñan en este"
"440","Q67A5D","D6-Y pensando en el tipo de competencias laborales que requiere fortalecer en los trabajadores que se desempeñan en este"
"441","Q67A6D","D6-Y pensando en el tipo de competencias laborales que requiere fortalecer en los trabajadores que se desempeñan en este"
"442","Q68","D7 - ¿Le gustaría agregar algo más relativo a la capacitación de sus trabajadores?"
"443","Q69R1","D8 - Subsidio al Empleo (Línea Regresa, Contrata, Subsidio Empleo Joven y Bono Trabajo Mujer)"
"444","Q69R2","D8 - Ley de Protección al Empleo"
"445","Q69R3","D8 - Sistema Nacional de Certificación de Competencias Laborales – ChileValora"
"446","Q69R4","D8 - Franquicia Tributuria"
"447","Q69R5","D8 - Bolsa Nacional de Empleo (BNE)"
"448","Q69R6","D8 - Ferias Laborales de SENCE/MINTRAB"
"449","Q69R7","D8 - Oficinas Municipales de Información Laboral (OMIL)"
"450","Q70","E - El Gobierno de Chile, a través del Ministerio del Trabajo y el Servicio Nacional de Capacitación y Empleo, está desa"
"451","Q71","E1 - ¿Acepta que funcionarios del Ministerio del Trabajo y Previsión Social, del Servicio Nacional de Capacitación y Emp"
"452","Q72A1","E2-¿En qué ámbitos específicos le gustaría recibir apoyo?  - Reclutamiento de trabajadores (Oficinas Municipales de Info"
"453","Q72A2","E2-¿En qué ámbitos específicos le gustaría recibir apoyo?  - Acceso a Franquicia Tributaria, capacitación en general y s"
"454","Q72A3","E2-¿En qué ámbitos específicos le gustaría recibir apoyo?  - Certificación de competencias laborales a través del Sistem"
"455","Q72A4","E2-¿En qué ámbitos específicos le gustaría recibir apoyo?  - Otro"
"456","Q72A1D","E2-¿En qué ámbitos específicos le gustaría recibir apoyo?  - Otro [Dynamic Text]"
"457","Q73","E3 - ¿Le interesa ser contactado por profesionales del Ministerio del Trabajo, el Servicio Nacional de Capacitación y Em"
"458","Q74A1","E4-¿En qué ámbitos específicos le gustaría recibir apoyo?  - Reclutamiento de trabajadores (Oficinas Municipales de Info"
"459","Q74A2","E4-¿En qué ámbitos específicos le gustaría recibir apoyo?  - Acceso a Franquicia Tributaria, capacitación en general y s"
"460","Q74A3","E4-¿En qué ámbitos específicos le gustaría recibir apoyo?  - Certificación de competencias laborales a través del Sistem"
"461","Q74A4","E4-¿En qué ámbitos específicos le gustaría recibir apoyo?  - Otro"
"462","Q74A1D","E4-¿En qué ámbitos específicos le gustaría recibir apoyo?  - Otro [Dynamic Text]"
